"run" "es.mean" "r.var" "n.obs" "n.vars" "true.err" "err.z.all" "err.t.all" "err.t.curve.all" "err.z.sig" "err.z.sig.sel" "err.t.sig.sel" "err.pcurve.all" "err.pcurve.sig" "true.edr" "edr.z.all" "edr.t.all" "edr.t.curve.all" "edr.z.sig" "edr.z.sig.sel" "edr.t.sig.sel" "edr.pcurve.all" "edr.pcurve.sig"
"37" 37 0 0.2 10 2 0.309367890505005 0.0382639105606134 0.145727473502776 0.145727473502776 0.0614904774924692 0.0283726079146008 0.245305329437495 0.05 0.06 0.163197211598087 0.0534897253507582 0.0713577894342752 0.0713577894342752 0.0609373590858204 0.0508434318708563 0.194650292261231 NA NA
"38" 38 0 0.2 10 4 0.307382408806125 0.0328322063315568 0.147633746596711 0.147633746596711 0.0738051952995281 0.0520159512609028 0.231731315925306 0.05 0.07 0.163096962833023 0.0510919317776737 0.0643849120206062 0.0643849120206062 0.0657944549836032 0.0526146314700387 0.190818167379066 NA NA
"39" 39 0 0.2 10 6 0.313863077955055 0.0524491305926668 0.154614190415261 0.154614190415261 0.0964919797311996 0.0786726489147338 0.260616064720752 0.05 0.08 0.16522650784949 0.0578043847605144 0.082892732556899 0.082892732556899 0.077118454646542 0.0669047473915502 0.203531434063957 NA NA
"40" 40 0 0.2 10 8 0.30604260946763 0.027843721794937 0.111185137755261 0.111185137755261 0.0822880286281997 0.025 0.215305103180278 0.05 0.07 0.162389459797718 0.0507092901575222 0.080300639395787 0.080300639395787 0.0696167412430076 0.0500000000000001 0.186929168286345 NA NA
"41" 41 0 0.2 10 10 0.310707186422119 0.0435504492794423 0.150858323329197 0.150858323329197 0.10295975352327 0.025 0.318206711979306 0.05 0.09 0.164285830261421 0.0550202619903711 0.0635893895712997 0.0635893895712997 0.0810977024223921 0.0500000000000001 0.239138888239715 NA NA
"42" 42 0 0.2 10 12 0.311940381197568 0.0395668401684348 0.132672622877817 0.132672622877817 0.124389628374315 0.0394493114534121 0.150969784324152 0.05 0.11 0.165062780726878 0.0538589823667717 0.0771628851461344 0.0771628851461344 0.0978218201422545 0.0535705987078817 0.0672259184777855 NA NA
"43" 43 0 0.2 20 2 0.306587200467164 0.0393673186236282 0.085503915648926 0.085503915648926 0.0687946409218367 0.0463123413515775 0.043040428612094 0.05 0.06 0.164818318010404 0.0538021066981961 0.0711844998816009 0.0711844998816009 0.0637277294267317 0.055791871199052 0.051062490461213 NA NA
"44" 44 0 0.2 20 4 0.303444577574255 0.0516134801151504 0.0812318599394367 0.0812318599394367 0.0881334424619331 0.025 0.0941710192017931 0.05 0.07 0.164258693458544 0.057531004785656 0.064257716570741 0.064257716570741 0.0725198627834794 0.0500000000000001 0.0757840631956453 NA NA
"45" 45 0 0.2 20 6 0.307222926737411 0.0316144768009229 0.0899184622620768 0.0899184622620768 0.0712650212894546 0.0272643716650188 0.0265332921393938 0.05 0.07 0.16607053752952 0.0516814320941067 0.0595892345021727 0.0595892345021727 0.0647302161297448 0.0505631592328248 0.0500752858782708 NA NA
"46" 46 0 0.2 20 8 0.304993158505306 0.0332386786963239 0.0802552281021612 0.0802552281021612 0.0931514434993983 0.0587397354978791 0.150114586689724 0.05 0.08 0.164399225700388 0.0521117500835935 0.0680174281751479 0.0680174281751479 0.0752123662040007 0.0599488209598758 0.1061252540142 NA NA
"47" 47 0 0.2 20 10 0.305042151303219 0.0278171173851514 0.0720475367074816 0.0720475367074816 0.0941915824561415 0.025 0.0823379386467579 0.05 0.07 0.164832541221391 0.0507025611603044 0.0630553308210903 0.0630553308210903 0.075795682857642 0.0500000000000001 0.0696405448555804 NA NA
"48" 48 0 0.2 20 12 0.303434425150366 0.036410778261603 0.074640890612645 0.074640890612645 0.120386397985035 0.0360476387479825 0.180464091618514 0.05 0.1 0.164582218810431 0.0529731756741215 0.0656951341539511 0.0656951341539511 0.0941931705555283 0.052873119534542 0.174081543730447 NA NA
"49" 49 0 0.2 40 2 0.30238091214032 0.0274269890425116 0.0509549134185057 0.0509549134185057 0.0548850471209683 0.0319027690615125 0.168536670710203 0.05 0.06 0.166157177261927 0.0506040915261898 0.0573173723030651 0.0573173723030651 0.058616319308276 0.0517572930601275 0.170075045753088 NA NA
"50" 50 0 0.2 40 4 0.300630728142556 0.0274652427574059 0.0559267784298025 0.0559267784298025 0.0630040652063733 0.025 0.0251924514802993 0.05 0.06 0.165070783416623 0.0506137299692114 0.0589705520872805 0.0589705520872805 0.0614953314126906 0.0500000000000001 0.0500093778436779 NA NA
"51" 51 0 0.2 40 6 0.301357879423435 0.035336303997876 0.0446199737696825 0.0446199737696825 0.0693014458458715 0.063579522859073 0.240453393470281 0.05 0.06 0.164831672381094 0.0526782161810633 0.0547931239175438 0.0547931239175438 0.0639308524057251 0.0617101597058497 0.197479236444533 NA NA
"52" 52 0 0.2 40 8 0.304384184941137 0.0315102177041369 0.0582793824854593 0.0582793824854593 0.092614822481214 0.025 0.025 0.05 0.08 0.165972345171332 0.0514338833375709 0.0552776899986559 0.0552776899986559 0.0749149226527121 0.0500000000000001 0.0500000000000001 NA NA
"53" 53 0 0.2 40 10 0.305278582935081 0.025 0.0446954057026078 0.0446954057026078 0.0905914033658816 0.0538331017015117 0.0339095417065176 0.05 0.07 0.16720969550599 0.0500000000000001 0.0553633561398691 0.0553633561398691 0.0738142112671628 0.0582629057691791 0.0505599681895964 NA NA
"54" 54 0 0.2 40 12 0.303127363896773 0.025 0.0479191010155884 0.0479191010155884 0.109305585488427 0.153916706489699 0.111552824961719 0.05 0.08 0.165293178629615 0.0500000000000001 0.0563527536912255 0.0563527536912255 0.0854223206590442 0.136649763581663 0.0618191263648002 NA NA
"55" 55 0 0.2 60 2 0.297669556202644 0.025 0.025 0.025 0.0272157541490719 0.127777627086425 0.123223849923586 0.05 0.05 0.164771501865511 0.0500000000000001 0.0500000000000001 0.0500000000000001 0.0504880262062631 0.101118595034613 0.0967365900485805 NA NA
"56" 56 0 0.2 60 4 0.300854907009999 0.035731019719108 0.0515913280357084 0.0515913280357084 0.0610519612215883 0.204441065283769 0.214597133703742 0.05 0.06 0.164701554702687 0.0527861891605103 0.0575237929924455 0.0575237929924455 0.0607775902358574 0.182735089656013 0.186665488805894 NA NA
"57" 57 0 0.2 60 6 0.295726736500829 0.025 0.0268613894454271 0.0268613894454271 0.0657637164901274 0.025 0.0514785422908119 0.05 0.06 0.163354392019076 0.0500000000000001 0.0504620096910211 0.0504620096910211 0.0625394007960568 0.0500000000000001 0.0574871026775415 NA NA
"58" 58 0 0.2 60 8 0.304505432516846 0.0336766667007089 0.0469950661939956 0.0469950661939956 0.0889494695208028 0.025 0.0489653765674787 0.05 0.07 0.165008960677079 0.0522290206569365 0.0560655573416337 0.0560655573416337 0.0729445150694963 0.0500000000000001 0.0566815159597597 NA NA
"59" 59 0 0.2 60 10 0.30834986670669 0.0268920941978224 0.040849258825225 0.040849258825225 0.100723819256795 0.025 0.0285646598356067 0.05 0.08 0.168360763140254 0.0504697024154898 0.054227438980661 0.054227438980661 0.079676431894182 0.0500000000000001 0.0501944181536854 NA NA
"60" 60 0 0.2 60 12 0.301061331616782 0.025 0.0410986231746081 0.0410986231746081 0.107583256264973 0.0534877249597645 0.158658955046749 0.05 0.09 0.165564344111658 0.0500000000000001 0.05383622873079 0.05383622873079 0.084203618494758 0.0581477998104271 0.145954177422748 NA NA
"61" 61 0 0.2 80 2 0.300620592487071 0.0555929839145294 0.0706778282601694 0.0706778282601694 0.0876841586757773 0.104393949450734 0.0971009264876235 0.05 0.07 0.1647816913528 0.0588565825662644 0.0644890849038377 0.0644890849038377 0.0722881637596636 0.0820363502016868 0.0774763748576268 NA NA
"62" 62 0 0.2 80 4 0.299511217317409 0.0361214646120322 0.0458044360812123 0.0458044360812123 0.0714120207642693 0.025 0.0461350413856277 0.05 0.06 0.164647297948995 0.0528934302161033 0.0556997892224531 0.0556997892224531 0.0647908640486997 0.0500000000000001 0.0558008735107863 NA NA
"63" 63 0 0.2 80 6 0.304089644115415 0.0492592741418369 0.0557042611815281 0.0557042611815281 0.0876605069001308 0.0264720506274355 0.0282924051514149 0.05 0.07 0.166169560809266 0.0567745561302598 0.0588945276684636 0.0588945276684636 0.0722760073762675 0.0503646683067124 0.0502896972622198 NA NA
"64" 64 0 0.2 80 8 0.304457971304775 0.058995662545769 0.0660578240451596 0.0660578240451596 0.118627006221462 0.0344273001891495 0.133662755152272 0.06 0.09 0.165608938117585 0.0600394385998261 0.0626527659119609 0.0626527659119609 0.0926821945424271 0.0506292460625234 0.107406359001702 NA NA
"65" 65 0 0.2 80 10 0.297296351922406 0.025 0.0260188334346829 0.0260188334346829 0.0804119857831992 0.025 0.0255051215700761 0.05 0.07 0.16371369231106 0.0500000000000001 0.0502518281937805 0.0502518281937805 0.0687336508775559 0.0500000000000001 0.0500251262619399 NA NA
"66" 66 0 0.2 80 12 0.300305829716432 0.025 0.0324631015244989 0.0324631015244989 0.103710198129562 0.0975650363092011 0.0930265437199528 0.05 0.08 0.165000336595388 0.0500000000000001 0.0519053773484476 0.0519053773484476 0.0815861556139552 0.0777514032803968 0.0751429248292584 NA NA
"67" 67 0 0.2 100 2 0.304240188194291 0.0509500372848603 0.056540466061053 0.056540466061053 0.0938449686031137 0.025 0.025 0.05 0.07 0.166345273668827 0.057315796450818 0.059181243064886 0.059181243064886 0.0756002969760264 0.0500000000000001 0.0500000000000001 NA NA
"68" 68 0 0.2 100 4 0.304872362448708 0.0570802775858165 0.0668356175847366 0.0668356175847366 0.0932105612942714 0.025 0.0281844907685085 0.06 0.07 0.167269938724665 0.0593678194284567 0.062954560234768 0.062954560234768 0.0752452790946515 0.0500000000000001 0.0507956383580073 NA NA
"69" 69 0 0.2 100 6 0.299365285154134 0.0387530236559352 0.0475778569797135 0.0475778569797135 0.0766848060246357 0.0404060070928041 0.0664438542919823 0.05 0.07 0.164078463493642 0.0536277474107636 0.0562463506958236 0.0562463506958236 0.0670440304272994 0.0540995178698259 0.0628021882924079 NA NA
"70" 70 0 0.2 100 8 0.297502507564818 0.025 0.025 0.025 0.0572133011243697 0.0803850480615776 0.176300871234459 0.05 0.06 0.164163975051029 0.0500000000000001 0.0500000000000001 0.0500000000000001 0.0594139774847593 0.0687211338882506 0.172661821102004 NA NA
"71" 71 0 0.2 100 10 0.299637976180341 0.025 0.0347308216244653 0.0347308216244653 0.0928441748981359 0.0361174037009491 0.0834840462225901 0.05 0.07 0.164777021651376 0.0500000000000001 0.0525134445796594 0.0525134445796594 0.0750417619918706 0.0525813808225885 0.0701916727940907 NA NA
"72" 72 0 0.2 100 12 0.298210030186121 0.025 0.0314202588765234 0.0314202588765234 0.0980630776300024 0.025 0.0320295383566946 0.05 0.08 0.164170258518182 0.0500000000000001 0.0516304510109825 0.0516304510109825 0.0780487195575262 0.0500000000000001 0.0517907215596453 NA NA
"73" 73 0 0.4 10 2 0.310806793383313 0.0325330519314649 0.132121006331933 0.132121006331933 0.0661106036929388 0.025 0.203816445030022 0.05 0.06 0.165216653482046 0.0519239233114615 0.0796849200811104 0.0796849200811104 0.0626731535810242 0.0500000000000001 0.180001969508081 NA NA
"74" 74 0 0.4 10 4 0.31565161333502 0.0341487191213574 0.149170502001554 0.149170502001554 0.0667950132531514 0.0443878461915423 0.0986976657955741 0.05 0.07 0.166633996230004 0.0523560043337087 0.0672715902056964 0.0672715902056964 0.0629387332986436 0.0552707741714684 0.0560263860666895 NA NA
"75" 75 0 0.4 10 6 0.313715001846787 0.0393297253515326 0.131428163990561 0.131428163990561 0.0800392537025836 0.126599692522468 0.205321031743866 0.05 0.08 0.165612801150958 0.0537914037954527 0.088552693184483 0.088552693184483 0.0685608596333756 0.0999474699363474 0.177386578030399 NA NA
"76" 76 0 0.4 10 8 0.307744868115947 0.0293459166812271 0.131231532291447 0.131231532291447 0.0811273841047255 0.0543044578187568 0.193550796874968 0.05 0.08 0.163010836183442 0.0510921566297407 0.0923844634899728 0.0923844634899728 0.0690677473672689 0.0584207350569193 0.175172773307137 NA NA
"77" 77 0 0.4 10 10 0.31444728037884 0.0310706780906342 0.13799936184991 0.13799936184991 0.0973653396112154 0.0545490552367349 0.478308399732962 0.05 0.09 0.165284524277638 0.0503036550591359 0.0601712608802182 0.0601712608802182 0.0776328253671439 0.0579663524105512 0.422791732707643 NA NA
"78" 78 0 0.4 10 12 0.311914408055246 0.0406136262864625 0.141352213399635 0.141352213399635 0.129554953852757 0.025 0.37454501580314 0.05 0.11 0.163626141682027 0.0541593609194304 0.0783956977852417 0.0783956977852417 0.102938528688655 0.0500000000000001 0.282287951542757 NA NA
"79" 79 0 0.4 20 2 0.309575589625238 0.0470886749460513 0.0847233151446631 0.0847233151446631 0.056729230609726 0.025 0.260075493296492 0.06 0.06 0.167276489771108 0.0560945182589176 0.0707974994265975 0.0707974994265975 0.0592463527249875 0.0500000000000001 0.206560346309484 NA NA
"80" 80 0 0.4 20 4 0.304694470463415 0.025 0.0666635487084546 0.0666635487084546 0.057327391700723 0.101948549190393 0.0793787673394241 0.05 0.06 0.165186326371095 0.0500000000000001 0.0628875450144749 0.0628875450144749 0.0594536231782388 0.080448700776333 0.0553782905593747 NA NA
"81" 81 0 0.4 20 6 0.306302210026063 0.0473574509340128 0.0922728752237701 0.0922728752237701 0.0965777179011372 0.025 0.0677937696388819 0.05 0.08 0.165146880520157 0.0561778394007876 0.0747266089052129 0.0747266089052129 0.0771686487515184 0.0500000000000001 0.0623779510740118 NA NA
"82" 82 0 0.4 20 8 0.30868823260784 0.0589317299001184 0.0963251695284431 0.0963251695284431 0.125484972643984 0.0278764864750212 0.176485625213895 0.06 0.1 0.165815889023098 0.0600167759205687 0.0770209850230733 0.0770209850230733 0.0988639058401519 0.0507175797136189 0.172724333866025 NA NA
"83" 83 0 0.4 20 10 0.308344221788827 0.0567692672888672 0.0952241736728218 0.0952241736728218 0.116687271711165 0.0272805633218958 0.0784092999083577 0.05 0.09 0.166612088462247 0.0592601808064998 0.068932214623671 0.068932214623671 0.0910715466650387 0.0505672318535283 0.0592001386377246 NA NA
"84" 84 0 0.4 20 12 0.304994079906107 0.0387201535461026 0.0760529274763389 0.0760529274763389 0.117383972298178 0.026208484713758 0.156997090571455 0.05 0.1 0.164813496999598 0.0536184495239915 0.0623101217418094 0.0623101217418094 0.0916435652726608 0.0502989851924828 0.142552705508074 NA NA
"85" 85 0 0.4 40 2 0.304484921530739 0.0410557206109915 0.0648670921449046 0.0648670921449046 0.064044875724275 0.0809169839463725 0.0658349163442071 0.05 0.06 0.165878671407267 0.054208453684423 0.0587076359884072 0.0587076359884072 0.0583752289915929 0.0689691522215817 0.0540606607423589 NA NA
"86" 86 0 0.4 40 4 0.305687694494133 0.0497355138864934 0.0693753258058355 0.0693753258058355 0.0778644072078654 0.0521103772241263 0.032985487626 0.05 0.07 0.166084714304041 0.0569259712081675 0.0639605710347122 0.0639605710347122 0.0675697167817309 0.0576932503107044 0.0506187607931986 NA NA
