"run","es.mean","r.vars","n.obs","n.vars","upper.pwr","lower.pwr","obs.power","true.edr","true.err","tot.mdl.edr","tot.mdl.err","sel.mdl.edr","sel.mdl.err","tot.mdl_bias.edr","tot.mdl_bias.err","tot.mdl_bias.OJS","tot.mdl_bias.EJS","tot.mdl_bias.P","sel.mdl_bias.edr","sel.mdl_bias.err","sel.mdl_bias.OJS","sel.mdl_bias.EJS","sel.mdl_bias.P"
14,0,0.25,20,5,0.025,0.025,0.05,0.05,0.025,0.0560314195454531,0.0468846002468357,0.0729504317040636,0.0889607720320388,0.0560314195454531,0.0468846002468357,0,0.02,1,0.0729504317040636,0.0889607720320388,0,0.02,1
15,0,0.25,20,10,0.025,0.025,0.05,0.05,0.025,0.05,0.025,0.0745404274619085,0.0919331013762775,0.05,0.025,0,0.02,1,0.0745404274619085,0.0919331013762775,0,0.02,1
16,0,0.25,30,2,0.025,0.025,0.05,0.05,0.025,0.05,0.025,0.0554853957751205,0.0450992560977871,0.05,0.025,0,0.02,1,0.0554853957751205,0.0450992560977871,0,0.02,1
17,0,0.25,30,5,0.025,0.025,0.05,0.05,0.025,0.0536733724725663,0.0389141534065769,0.0786049697731255,0.098984746912299,0.0536733724725663,0.0389141534065769,0,0.02,1,0.0786049697731255,0.098984746912299,0,0.02,1
18,0,0.25,30,10,0.025,0.025,0.05,0.05,0.025,0.0556487593836948,0.0456370821701496,0.0833001516475672,0.106273904365863,0.0556487593836948,0.0456370821701496,0,0.02,1,0.0833001516475672,0.106273904365863,0,0.02,1
19,0,0.5,15,2,0.025,0.025,0.0500000000000001,0.0500000000000001,0.025,0.0530431917883245,0.0366640770163738,0.0557817119572405,0.0460724638307746,0.0530431917883245,0.0366640770163738,0,0.02,1,0.0557817119572405,0.0460724638307746,0,0.02,1
20,0,0.5,15,5,0.025,0.025,0.0500000000000001,0.0500000000000001,0.025,0.0526020201489888,0.0350567796897901,0.0701100418911518,0.0833154260653728,0.0526020201489888,0.0350567796897901,0,0.02,1,0.0701100418911518,0.0833154260653728,0,0.02,1
21,0,0.5,15,10,0.025,0.025,0.0500000000000001,0.0500000000000001,0.025,0.0545982721397436,0.0421224724468564,0.0884346237158216,0.113359043449479,0.0545982721397436,0.0421224724468564,0,0.02,1,0.0884346237158216,0.113359043449479,0,0.02,1
22,0,0.5,20,2,0.025,0.025,0.05,0.05,0.025,0.0517841386406045,0.0320045872103062,0.0588748369698488,0.0556465344228284,0.0517841386406045,0.0320045872103062,0,0.02,1,0.0588748369698488,0.0556465344228284,0,0.02,1
23,0,0.5,20,5,0.025,0.025,0.05,0.05,0.025,0.05,0.025,0.0588363500459249,0.0555335916438515,0.05,0.025,0,0.02,1,0.0588363500459249,0.0555335916438515,0,0.02,1
